target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences
example,"['instance', 'illustration', 'demonstration']",adverb,"For example, you might visit such a country that has historical sites and some these sites's inhabitants home or their ancestor's home.","For example, you might visit such a country that has historical sites and some of these sites' inhabitants home or their ancestor's home. ","For **example**, you might visit such a country that has historical sites and some of these sites' inhabitants home or their ancestor's home."
Learning,"['Studying', 'Absorbing', 'Memorizing']",noun,Learning facts by hearth it is not useful for them.,Learning facts by heart is not useful for them. ,**Learning** facts by heart is not useful for them.
die,"['perish', 'pass away']",noun,"To find out,you need to ask yourselves: ""How did he or she died and who killed them?","To find out,you need to ask yourselves: ""How did he or she die and who killed them? ","To find out,you need to ask yourselves: ""How did he or she **die** and who killed them?"
best,"['optimal', 'ideal', 'perfect']",adjective,"i  agree withe statement it is best to travel in a group led by a tour guide because if offers a lot of advantages than travelling alone,     First let us consider this .If","i agree with the statement that it is best to travel in a group led by a tour guide because it offers a lot more advantages than travelling alone, First let us consider this . If","i agree with the statement that it is **best** to travel in a group led by a tour guide because it offers a lot more advantages than travelling alone, First let us consider this. If"
travels,"['journeys', 'roams', 'explores']",verb,"If someone travel in group with tour guide, you cannot change plans, You may go to beach on a rainy day.","If someone travels in a group with a tour guide, you cannot change plans, You may go to the beach on a rainy day. ","If someone **travels** in a group with a tour guide, you cannot change plans, **You may go to the beach on a rainy day."
source,"['origin', 'root', 'cause']",noun,Not only this it can be a source of some extra income which is very neccessary keeping in point of view the rising prices of commodities around the world.,Not only this it can be a source of some extra income which is very necessary keeping in mind the rising prices of commodities around the world. ,Not only this it can be a **source** of some extra income which is very necessary keeping in mind the rising prices of commodities around the world.
important,"['crucial', 'vital', 'significant', 'essential']",adjective,Because it is more important for any one to  have an clear idea about that particular thing to work on it.,Because it is more important for any one to have a clear idea about that particular thing to work on it. ,Because it is more **important** for any one to have a clear idea about that particular thing to work on it.
help,"['assist', 'support', 'aid', 'advance']",verb,"In addition, most of young people think that communicaties is not their best friends or relates, so they do not willing help them.","In addition, most young people think that communities are not their best friends or relations, so they are not willing to help them. ","In addition, most young people think that communities are not their best friends or relations, so they are not willing to **help** them."
other,"['alternatively', 'conversely']",adverb,"In othre word, we do not need take a long time to read a text book.","In other words, we do not need to take a long time to read a text book. ","In **other** words, we do not need to take a long time to read a text book."
make,"['commit', 'conduct', 'perform', 'create']",adverb,"That is what push us to make mistakes, we can not leave our desition on the companie's hands, we have to do some research to make sure that what they are offering is what really is, and what I really need, otherwise you do not need to buy it.","That is what pushes us to make mistakes, we can not leave our decision to the company's hands, we have to do some research to make sure that what they are offering is what really is, and what I really need, otherwise you do not need to buy it. ","That is what pushes us to **make** mistakes, we can not leave our decision to the company's hands, we have to do some research to make sure that what they are offering is what really is, and what I really need, otherwise you do not need to buy it."
visualize,"['depict', 'portray', 'illustrate', 'project']",verb,"The advertisement visualize the programms, send some television spots and organize big public events to present the candidats of the election.","The advertisement visualize the programmes, send some television spots and organize big public events to present the candidates of the election. ","The advertisement **visualize** the programmes, send some television spots and organize big public events to present the candidates of the election."
specialised,"['skilled', 'trained', 'expert', 'professional', 'proficient']",adjective,"Now to have  a job you have to be  specialised because the technology of our day is very specific  and precise, you can work if you do not know precisly  your job.","Now to have a job you have to be specialised because the technology of our day is very specific and precise, you can work if you do not know your job precisely. ","Now to have a job you have to be **specialised** because the technology of our day is very specific and precise, you can work if you do not know your job precisely."
fact,"['surely', 'indeed', 'truly', 'certainly', 'absolutely']",adverb,"In fact in our societies of consumption , advertising has become a great way to influence people by showing them an ideal universe .","In fact in our society of consumption , advertising has become a great way to influence people by showing them an ideal universe . ","In **fact** in our society of consumption , advertising has become a great way to influence people by showing them an ideal universe ."
honest,"['truthful', 'sincere', 'genuine']",adverb,"This is not right as people think that the message send to them is honest , thus they believe whatever they heard.","This is not right as people think that the message sent to them is honest , thus they believe whatever they hear. ","This is not right as people think that the message sent to them is **honest**, thus they believe whatever they hear."
things,"['events', 'occurrences', 'happenings', 'incidents.']",noun,soon I realized there were lots of things that happened other than sinking nad,soon I realized there were lots of things that happened other than sinking and,Soon I realized there were lots of **things** that happened other than sinking and...
going,"['planning', 'intending']",adjective,They  can watch the cartoons for hours  without worried about what are they going to eat tonight because mom is there to take care of that.,They can watch the cartoons for hours without worrying about what they are going to eat tonight because mom is there to take care of them. ,They can watch the cartoons for hours without worrying about what they are **going** to eat tonight because mom is there to take care of them.
young,"['juvenile', 'youthful', 'adolescent', 'teenage']",adjective,"But we cannot generize this fact, because some youngs are still devoted to help their communities.","But we cannot generalize this fact, because some young people are still devoted to helping their communities. ","But we cannot generalize this fact, because some **young** people are still devoted to helping their communities."
play,"['enact', 'perform', 'fulfill', 'execute.']",verb,"Ofcourse childhood play a very crucial role in everybodies life and hence parents should take care of their children properly and guide them properly in their education,in order to become good citizens in their nation.","Ofcourse childhood play a very crucial role in everybody's life and hence parents should take care of their children properly and guide them properly in their education,in order to become good citizens in their nation. ","Ofcourse **childhood play** a very crucial role in everybody's life and hence parents should take care of their children properly and guide them properly in their education, in order to become good citizens in their nation."
Also,"['Furthermore', 'Moreover', 'Additionally', 'Besides', 'Plus']",adverb,Also this arguement coincides with the first arguement: the people who love their jobs become more productive.,Also this argument coincides with the first argument : the people who love their jobs become more productive. ,**Also** this argument coincides with the first argument : the people who love their jobs become more productive.
change,"['alter', 'modify', 'adjust', 'transform', 'revise']",verb,"Moreover, i had  to change all my trip, retiming my plane, cause of the other people.","Moreover, i had to change all my trip, retiming my plane, because of other people. ","Moreover, i had to **change** all my trip, retiming my plane, because of other people."
improve,"['enhance', 'elevate', 'boost']",adverb,Second reason is that understanding ideas and concepts can improve my creation abilities and thinkings.,The second reason is that understanding ideas and concepts can improve my creation abilities and thinking. ,The second reason is that understanding ideas and concepts can **improve** my creation abilities and thinking.
subject,"['discipline', 'field', 'area', 'domain']",noun,Specializing in our major subject provide the us to get the certain job in subject.,Specializing in our major subject allows us to get a certain job in the subject. ,Specializing in our major **subject** allows us to get a certain job in the subject.
helps,"['assists', 'aids', 'benefits', 'supports']",adverb,On this process wrong informative advertisement gives help his firm.,In this process wrong informative advertisement helps his firm. ,"In this process, wrong informative advertisement **helps** his firm."
steals,"['robs', 'takes', 'deprives']",verb,"but, it is actually  stole people's fresh mind from many adult people.","but, it actually steals people's fresh minds from many adult people. ","but, it actually **steals** people's fresh minds from many adult people."
conclusion,"['decision', 'determination', 'verdict', 'resolution', 'judgement']",noun,"As I constantly get higher and satisfing scores , I reached the conclution that I had enough skills to handle English, and stop studying.","As I constantly got higher and more satisfying scores , I reached the conclusion that I had enough skills to handle English, and stopped studying. ","As I constantly got higher and more satisfying scores , I reached the **conclusion** that I had enough skills to handle English, and stopped studying."
rather,"['instead', 'comparatively', 'relatively']",adverb,"Moreover, people begin to show theirs respect his  thoughts, academic works  or papers rather than others who are not special on the related topic.","Moreover, people begin to show their respect for his thoughts, academic works or papers rather than others who are not special in the related topic. ","Moreover, people begin to show their respect for his thoughts, academic works or papers **rather** than others who are not special in the related topic."
good times,"['pleasant moments', 'enjoyable experiences', 'fun occasions']",noun,"For example, out door activities are very enjoable and realy provide youngers to have good times.","For example, out door activities are very enjoyable and really provide youngsters with good times. ","For example, out door activities are very enjoyable and really provide youngsters with **good times**."
after all,"['ultimately', 'eventually', 'finally']",adverb,"But after all the experience that I visited several hot springs, I know the wellness of it.","But after all the experience of visiting several hot springs, I know the wellness of it. ","But **after all** the experience of visiting several hot springs, I know the wellness of it."
make,"['render', 'lead', 'cause', 'create']",verb,Second abundunt physical capacity does not always people happy.,Second abundant physical capacity does not always makepeople happy. ,Second abundant physical capacity does not always **make** people happy.
hurdles,"['obstacles', 'barriers', 'impediment.']",noun,"The people though come from different cultures and backgrounds,makes their life easy when they come to their teenage,all leaving the hurdles they are facing in their routines life.","People who come from different cultures and backgrounds, make their life easy when they come into their teenage years ,all leaving the hurdles they are facing in their routine life. ","People who come from different cultures and backgrounds, make their life easy when they come into their teenage years ,all leaving the **hurdles** they are facing in their routine life."
positions,"['roles', 'posts', 'careers', 'opportunities']",noun,"Instead, having variety of academic knowledge provides people diverse potential job position to select.","Instead, having a variety of academic knowledge provides people with diverse potential job positions to select from. ","Instead, having a variety of academic knowledge provides people with diverse potential job **positions** to select from."
travel,"['journey', 'trip', 'voyage']",noun,"so easy is the travel , we never feel tirde because  we can focus our mood on the beatuty of view.","so easy is the travel , we never feel tired because we can focus our mood on the beauty of the view. ","so easy is the **travel**, we never feel tired because we can focus our mood on the beauty of the view."
present,"['exhibit', 'portray', 'expound', 'demonstrate']",verb,"The third reason i would like to present, is that a person's ability of learning may be more , but it is limited to a particular filed or a particular subject.","The third reason i would like to present, is that a person's ability to learn may be more , but it is limited to a particular field or a particular subject. ","The third reason i would like to **present**, is that a person's ability to learn may be more , but it is limited to a particular field or a particular subject."
free,"['devoid', 'exempt', 'unburdened', 'independent']",adjective,"He is free of the family derdens, he need not worry about the financial difficulties, he will not have the professional tentions etc.","He is free of family troubles, he doesn't need to worry about financial difficulties, he will not have professional questions etc. ","He is **free** of family troubles, he doesn't need to worry about financial difficulties, he will not have professional questions etc."
work,"['profession', 'job', 'occupation', 'vocation']",noun,People who know their work are better able to succeed that the people who do not know the material.,People who know their work are better able to succeed than people who do not know the material. ,People who know their **work** are better able to succeed than people who do not know the material.
immediately,"['instantly', 'swiftly', 'promptly', 'directly']",adverb,"First, the most typical example that I come up immediately is fast food advertisement.","First, the most typical example that I come up with immediately is fast food advertisements. ","First, the most typical example that I come up with **immediately** is fast food advertisements."
ideas,"['principles', 'theories', 'concepts']",noun,"Even though difficultes to understand the ideas, students who understand the basic concepts can apply what they learn through it.","Even though it is difficult to understand the ideas, students who understand the basic concepts can apply what they learn through it. ","Even though it is difficult to understand the **ideas**, students who understand the basic concepts can apply what they learn through it."
reasonable,"['plausible', 'sensible', 'rational', 'logical', 'credible']",adjective,"Remarkably, some of the companies already started improving the techniques to creat other types of reasonable behicles.","Remarkably, some of the companies have already started improving the techniques to create other types of reasonable beings. ","Remarkably, some of the companies have already started improving the techniques to create other types of **reasonable** beings."
part,"['section', 'segment', 'district', 'area']",adjective,"and I always can move to one part to other part of the town by my bike, so","and I can always move from one part to another part of the town by bike, so","and I can always move from one **part** to another part of the town by bike, so"
up,"['competent', 'adequate', 'satisfactory', 'suitable']",adjective,But mant cases toys would not be up to the eexpecation of child.,But in most cases toys would not be up to the expectations of the child. ,But in most cases toys would not be **up** to the expectations of the child.
best,"['ideal', 'excellent', 'superior', 'perfect']",adjective,well the tour could defintly be the best ones.,well the tour could defintly be the best ones.,well the tour could defintly be the **best** ones.
rules,"['regulations', 'guidelines', 'principles']",noun,If you don't know the rules(which are facts) of  football you will never be able to get the concept of the sport.,If you don't know the rules(which are facts) of  football you will never be able to get the concept of the sport.,If you don't know the **rules**(which are facts) of football you will never be able to get the concept of the sport.
Especially,"['Particularly', 'Specifically', 'Primarily', 'Predominantly']",adjective,Especially Japanese are often seen travalling in a huge group.,Especially Japanese are often seen travalling in a huge group.,**Especially** Japanese are often seen traveling in a huge group.
prevents,"['hampers', 'hinders', 'restricts']",adverb,This behavior prevents young people to give enough time to helping their communities.,This behavior prevents young people to give enough time to helping their communities.,This behavior **prevents** young people to give enough time to helping their communities.
executives,"['managers', 'directors', 'leaders', 'officers', 'administrators']",noun,We just have to look at high executives in the business world.,We just have to look at high executives in the business world.,We just have to look at high **executives** in the business world.
alone,"['solitary', 'solo', 'independent', 'unaccompanied']",adjective,Travelling alone does not serve the purpose of travellin itself.,Travelling alone does not serve the purpose of travellin itself.,Travelling **alone** does not serve the purpose of travelling itself.
areas,"['regions', 'territories', 'zones', 'districts']",adjective,"In some areas in the world and at a certain level of the education, student learn facts and do not try to understand the topic.","In some areas in the world and at a certain level of the education, student learn facts and do not try to understand the topic.","In some **areas** in the world and at a certain level of the education, student learn facts and do not try to understand the topic."
general,"['universal', 'widespread', 'overall', 'comprehensive']",adjective,but it is nowhere in sight and it would take much longer to gain general acceptance than the given 20 years to have any impact on the number of cars in use.,but it is nowhere in sight and it would take much longer to gain general acceptance than the given 20 years to have any impact on the number of cars in use.,But it is nowhere in sight and it would take much longer to gain **general** acceptance than the given 20 years to have any impact on the number of cars in use.
old,"['ancient', 'primitive', 'age-old']",adjective,Edison is an old but always appopriate example.,Edison is an old but always appopriate example.,Edison is an **old** but always appropriate example.
literally,"['genuinely', 'absolutely', 'truly', 'completely']",adverb,The risk involved is literally nothing.,The risk involved is literally nothing.,The risk involved is **literally** nothing.
discover,"['uncover', 'reveal', 'expose', 'ascertain']",verb,And when they are at home they discover the truth behind all the colorfull  promises.,And when they are at home they discover the truth behind all the colorfull  promises.,And when they are at home they **discover** the truth behind all the colorful promises.
fewer,"['lesser', 'reduced', 'decreased', 'diminished']",adjective,"In view of all the above reasons and illustrations, I feel that they will be fewer cars being driven in twenty years from now.","In view of all the above reasons and illustrations, I feel that they will be fewer cars being driven in twenty years from now.","In view of all the above reasons and illustrations, I feel that they will be **fewer** cars being driven in twenty years from now."
simplicity,"['straightforwardness', 'unpretentiousness', 'easiness', 'clarity']",noun,"As going to museums, listening to concerts, taking a walk on the street, day dreaming, or reading simply for enjoyment are part of their daily activities, they can simply enjoy life for the beauty of its simplicity.","As going to museums, listening to concerts, taking a walk on the street, day dreaming, or reading simply for enjoyment are part of their daily activities, they can simply enjoy life for the beauty of its simplicity.","As going to museums, listening to concerts, taking a walk on the street, day dreaming, or reading simply for enjoyment are part of their daily activities, they can simply enjoy life for the beauty of its **simplicity**."
see,"['observe', 'scrutinize', 'inspect', 'view']",verb,"But at the same time in my opinion, viewer should see these advertisements vigilantly and  before buying them they shuld examine the product and check out the validity of the statements and claims made in those commercials.","But at the same time in my opinion, viewer should see these advertisements vigilantly and  before buying them they shuld examine the product and check out the validity of the statements and claims made in those commercials.","But at the same time in my opinion, viewer should **see** these advertisements vigilantly and before buying them they should examine the product and check out the validity of the statements and claims made in those commercials."
help,"['assist', 'support', 'aid', 'benefit', 'contribute']",verb,We talk less about quiet young people just trying to do their best in life and who do help their community.,We talk less about quiet young people just trying to do their best in life and who do help their community.,We talk less about quiet young people just trying to do their best in life and who do **help** their community.
Advertisement,"['promotion', 'publicity', 'marketing']",noun,Advertisement tends to make products better than they are.,Advertisement tends to make products better than they are.,**Advertisement** tends to make products better than they are.
help,"['assist', 'contribute', 'support', 'promote']",verb,"Young people should be the ones who help and develop their communities, but it is not yet achieved in my country.","Young people should be the ones who help and develop their communities, but it is not yet achieved in my country.","Young people should be the ones who **help** and develop their communities, but it is not yet achieved in my country."
boils,"['distills', 'reduces', 'condenses', 'simplifies']",verb,"This last aspect alone, which boils down to a question of perspective, is why I cannot agree with the statement that young people don't spend enough time helping their communities - this and my own experiences with numerous individuals, some of which I have mentioned above, which prove the contrary.","This last aspect alone, which boils down to a question of perspective, is why I cannot agree with the statement that young people don't spend enough time helping their communities - this and my own experiences with numerous individuals, some of which I have mentioned above, which prove the contrary.","This last aspect alone, which **boils** down to a question of perspective, is why I cannot agree with the statement that young people don't spend enough time helping their communities - this and my own experiences with numerous individuals, some of which I have mentioned above, which prove the contrary."
own,"['personal', 'individual', 'unique']",adverb,"he started just with his willingness, and among a lot more other qualities, he started with his own ideas.","he started just with his willingness, and among a lot more other qualities, he started with his own ideas.","he started just with his willingness, and among a lot more other qualities, he started with his **own** ideas."
fast,"['quickly', 'rapidly', 'swiftly']",adverb,"In this well-connected world of today, external influences on mindsets and culture are large and the concept of working for one's community is disappearing fast in the young generation of today.","In this well-connected world of today, external influences on mindsets and culture are large and the concept of working for one's community is disappearing fast in the young generation of today.","In this well-connected world of today, external influences on mindsets and culture are large and the concept of working for one's community is disappearing **fast** in the young generation of today."
seem,"['appear', 'look', 'sound']",verb,"However, in most advertisements, the products seem much better than they really are.","However, in most advertisements, the products seem much better than they really are.","However, in most advertisements, the products **seem** much better than they really are."
important,"['crucial', 'vital', 'significant', 'necessary']",adjective,This is very important to keep the students interested in the subject they are studying.,This is very important to keep the students interested in the subject they are studying.,This is very **important** to keep the students interested in the subject they are studying.
subject,"['topic', 'field', 'area', 'discipline']",noun,"Though it is proven that we use only 10% of our brain capacity,why not focus the remaining 90% on a single subject and master it?Dealing with too many topics at one time could lead to confusion and chaos and could result in frustration for the individual.","Though it is proven that we use only 10% of our brain capacity,why not focus the remaining 90% on a single subject and master it?Dealing with too many topics at one time could lead to confusion and chaos and could result in frustration for the individual.","Though it is proven that we use only 10% of our brain capacity, why not focus the remaining 90% on a single **subject** and master it? Dealing with too many topics at one time could lead to confusion and chaos and could result in frustration for the individual."
contrast,"['paradoxically', 'surprisingly', 'unexpectedly']",adverb,"After his bankrupt several years ago, he did not stop working, in contrast he took more risks to build up his empire again.","After his bankrupt several years ago, he did not stop working, in contrast he took more risks to build up his empire again.","After his bankrupt several years ago, he did not stop working, in **contrast** he took more risks to build up his empire again."
lie,"['deceive', 'mislead', 'falsify']",verb,"And if you lack of some quality or price specifications, the only choice to follow is waiting for you: To lie to the buyer; or in a more kindly way, to exaggregate the features of the products, Any marketing department and advertisers have not the luxury of betraying the ultimate goal of the company.","And if you lack of some quality or price specifications, the only choice to follow is waiting for you: To lie to the buyer; or in a more kindly way, to exaggregate the features of the products, Any marketing department and advertisers have not the luxury of betraying the ultimate goal of the company.","And if you lack of some quality or price specifications, the only choice to follow is waiting for you: To **lie** to the buyer; or in a more kindly way, to exaggregate the features of the products, Any marketing department and advertisers have not the luxury of betraying the ultimate goal of the company."
people,"['individuals', 'persons', 'folks', 'humans']",noun,Some successful people try to do new things and take risks whereas others don`t.,Some successful people try to do new things and take risks whereas others don`t.,Some **successful people** try to do new things and take risks whereas others don't.
fear,"['dread', 'apprehension', 'terror', 'panic', 'anxiety']",adjective,but at he same time fear of what will be going to happen after I go.,but at he same time fear of what will be going to happen after I go.,but at the same time **fear** of what will be going to happen after I go.
key,"['essential', 'pivotal', 'crucial', 'fundamental', 'primary']",adjective,The key element for an individual to succeed is to innovate and bring about new ideas.,The key element for an individual to succeed is to innovate and bring about new ideas.,The **key** element for an individual to succeed is to innovate and bring about new ideas.
hesitate,"['falter', 'waver', 'dither']",adverb,"Young people do not hesitate to spend time for travelling, parties, visiting friends and so on.","Young people do not hesitate to spend time for travelling, parties, visiting friends and so on.","Young people do not **hesitate** to spend time for travelling, parties, visiting friends and so on."
actor,"['performer', 'entertainer', 'artist', 'star']",noun,Obviously the actor in the add seems to have more fun driving the car.,Obviously the actor in the add seems to have more fun driving the car.,Obviously the **actor** in the add seems to have more fun driving the car.
incredible,"['phenomenal', 'fantastic', 'superb', 'marvelous']",adjective,"For the famous company Apple who have produced and advertised an array of incredible products, there have been some along the way that were purely insignificant in contrast to their price.","For the famous company Apple who have produced and advertised an array of incredible products, there have been some along the way that were purely insignificant in contrast to their price.","For the famous company Apple who have produced and advertised an array of **incredible** products, there have been some along the way that were purely insignificant in contrast to their price."
Right now,"['Currently', 'Presently', 'Immediately']",adverb,right now which is the place where I am staying  and this has worked out here and resulted in a decrease in the number of the cars being used compared to the last year.,right now which is the place where I am staying  and this has worked out here and resulted in a decrease in the number of the cars being used compared to the last year.,**Right now** which is the place where I am staying and this has worked out here and resulted in a decrease in the number of the cars being used compared to the last year.
taking,"['embracing', 'accepting', 'assuming', 'engaging']",adverb,"In my opinion, people who are trying try new things and taking risk are more successful than people who are keeping on doing what they know well.","In my opinion, people who are trying try new things and taking risk are more successful than people who are keeping on doing what they know well.","In my opinion, people who are trying try new things and **taking** risk are more successful than people who are keeping on doing what they know well."
number,"['total', 'count', 'quantity', 'sum']",noun,"In the past 13 years only, the number of cars in the country has rose by over 400% to about 29 million.","In the past 13 years only, the number of cars in the country has rose by over 400% to about 29 million.","In the past 13 years only, the **number** of cars in the country has rose by over 400% to about 29 million."
socialising,"['interacting', 'mingling']",adjective,"Secondly, a point that is often missed is the socialising factor.","Secondly, a point that is often missed is the socialising factor.","Secondly, a point that is often missed is the **socialising** factor."
teenagers,"['adolescents', 'youngsters', 'youths']",noun,"To elaborate this point, consider the example of a group of partying teenagers.","To elaborate this point, consider the example of a group of partying teenagers.","To elaborate this point, consider the example of a group of partying **teenagers**."
voluntary,"['optional', 'discretionary', 'elective']",noun,"My grandparents, for example, enjoy their days and make themselves busy through participating in  voluntary works and travels.","My grandparents, for example, enjoy their days and make themselves busy through participating in  voluntary works and travels.","My grandparents, for example, enjoy their days and make themselves busy through participating in  **voluntary** works and travels."
memories,"['recollections', 'reminiscences', 'flashbacks']",noun,"On the other hand, there is the group of people who is always living in the memories of a past that is never coming back, with regrets and sadness.","On the other hand, there is the group of people who is always living in the memories of a past that is never coming back, with regrets and sadness.","On the other hand, there is the group of people who is always living in the **memories** of a past that is never coming back, with regrets and sadness."
most typical,"['conventionally', 'traditionally', 'normally', 'usually']",adverb,Advertisements want to present their product in the most typical way with refernces to the consumer.,Advertisements want to present their product in the most typical way with refernces to the consumer.,Advertisements want to present their product in the **most typical** way with references to the consumer.
transport,"['conveyance', 'transit', 'transportation', 'vehicular']",adjective,"Moreover, with advancements in transport technology, alternative modes of transport will develop.","Moreover, with advancements in transport technology, alternative modes of transport will develop.","Moreover, with advancements in **transport** technology, alternative modes of transport will develop."
learning,"['acquiring', 'mastering', 'absorbing', 'gaining']",verb,Understanding grammar rules and learning vocabulary aren't they both necessary to express oneself in a foreign language ?,Understanding grammar rules and learning vocabulary aren't they both necessary to express oneself in a foreign language ?,Understanding grammar rules and **learning** vocabulary aren't they both necessary to express oneself in a foreign language?
comes,"['arrives', 'appears']",verb,But that doesn't mean the fun comes to an end.,But that doesn't mean the fun comes to an end.,But that doesn't mean the **fun** comes to an end.
specialist,"['expert', 'professional', 'pundit']",adjective,"""A specialist is a person who knows more and more about less and less"".","""A specialist is a person who knows more and more about less and less"".","""A **specialist** is a person who knows more and more about less and less""."
have,"['possess', 'hold', 'maintain', 'secure']",verb,So it is always best to have it fir a better life and a good settlement.,So it is always best to have it fir a better life and a good settlement.,So it is always best to **have** it for a better life and a good settlement.
playing,"['amusing', 'entertaining', 'relaxing']",adjective,For a child playing could be enjoyment.,For a child playing could be enjoyment.,"For a child, **playing** could be enjoyment."
probably,"['possibly', 'likely', 'perhaps', 'presumably']",adverb,"To conclude, I do not agree with this statement, probably because I am a part of the cowards.","To conclude, I do not agree with this statement, probably because I am a part of the cowards.","To conclude, I do not agree with this statement, **probably** because I am a part of the cowards."
statement,"['declaration', 'assertion', 'remark']",adjective,I do not really agree with this statement saying that in twenty years the number of cars would have decreased.,I do not really agree with this statement saying that in twenty years the number of cars would have decreased.,I do not really agree with this **statement** saying that in twenty years the number of cars would have decreased.
broad,"['extensive', 'comprehensive', 'wide', 'vast']",noun,"Thus when i am faced with the question as to 'whether it is better to have a broad knowledge of many academic subjects or to specialize in one specific subject?', I would always choose to specialize in one specific subject.","Thus when i am faced with the question as to 'whether it is better to have a broad knowledge of many academic subjects or to specialize in one specific subject?', I would always choose to specialize in one specific subject.","Thus when i am faced with the question as to 'whether it is better to have a **broad** knowledge of many academic subjects or to specialize in one specific subject?', I would always choose to specialize in one specific subject."
have,"['possess', 'hold', 'maintain']",verb,"The leader is, for instance,  the student who have the courage to tell the professor about something inconvinient.","The leader is, for instance,  the student who have the courage to tell the professor about something inconvinient.","The leader is, for instance, the student who **have** the courage to tell the professor about something inconvinient."
consumers,"['customers', 'purchasers', 'buyers', 'shoppers']",noun,It seems clear that consumers will stop buying a certain product that is made to look good in an advertisement if in reality it doesn't work or is much worse than it appeared to be.,It seems clear that consumers will stop buying a certain product that is made to look good in an advertisement if in reality it doesn't work or is much worse than it appeared to be.,It seems clear that **consumers** will stop buying a certain product that is made to look good in an advertisement if in reality it doesn't work or is much worse than it appeared to be.
knowledge,"['understanding', 'expertise', 'insight', 'mastery.']",noun,These companies have a great knowledge in human psychology so they are trying to do their best to persuade the customers and make their products sold.,These companies have a great knowledge in human psychology so they are trying to do their best to persuade the customers and make their products sold.,These companies have a great **knowledge** in human psychology so they are trying to do their best to persuade the customers and make their products sold.
interpretation,"['explanation', 'illustration', 'translation']",adjective,Another example is an interpretation of a text.,Another example is an interpretation of a text.,Another example is an **interpretation** of a text.
leave,"['depart from', 'exit', 'abandon']",verb,"This means that since the moment you leave that restaurant, you will always now that the meal you had will not look like he one in the menu.","This means that since the moment you leave that restaurant, you will always now that the meal you had will not look like he one in the menu.","This means that since the moment you **leave** that restaurant, you will always now that the meal you had will not look like the one in the menu."
new,"['additional', 'different', 'fresh']",adjective,"We can not meet new people unless we do not travel in  group and as far as seing new places is concerned,we can not know the history of the places without having sumone told it to us.","We can not meet new people unless we do not travel in  group and as far as seing new places is concerned,we can not know the history of the places without having sumone told it to us.","We can not meet new **people** unless we do not travel in group and as far as seeing new places is concerned, we can not know the history of the places without having someone told it to us."
HYSTERISIS,"['backlash', 'lag', 'delay']",noun,"Every process future analysis is based on a ""HYSTERISIS"" curve, which shows the probability of any issue considering the past statistics.","Every process future analysis is based on a ""HYSTERISIS"" curve, which shows the probability of any issue considering the past statistics.","Every process future analysis is based on a ""**HYSTERISIS**"" curve, which shows the probability of any issue considering the past statistics."
reason,"['cause', 'factor', 'basis', 'motivation']",noun,The main reason of teenagers enjoying life is freedom.,The main reason of teenagers enjoying life is freedom.,The main **reason** of teenagers enjoying life is freedom.
thought,"['estimated', 'predicted', 'assumed']",adverb,Next most worrying and disgusting thing was we couldn't get food as we thought.,Next most worrying and disgusting thing was we couldn't get food as we thought.,Next most worrying and disgusting thing was we couldn't get food as we **thought**.
better,"['superior', 'preferable', 'improved']",adjective,So in conclusion I believe because of the mentioned reasons that advertisements make products seem much better and useful than they really are.,So in conclusion I believe because of the mentioned reasons that advertisements make products seem much better and useful than they really are.,So in conclusion I believe because of the mentioned reasons that advertisements make products seem much **better** and useful than they really are.
effortlessly,"['easily', 'smoothly', 'simply', 'naturally']",noun,What one person could achieve effortlessly could be another's nightmare.,What one person could achieve effortlessly could be another's nightmare.,What one person could achieve **effortlessly** could be another's nightmare.
sell,"['market', 'trade', 'merchandise']",verb,"The main focus of advertisements is to make it seem that the product is the best thing in the world, that it is  completely necessary and the most important of all, to sell the product to make profits which equals money.","The main focus of advertisements is to make it seem that the product is the best thing in the world, that it is  completely necessary and the most important of all, to sell the product to make profits which equals money.",The main focus of advertisements is to **sell** the product to make profits which equals money.
management,"['administration', 'leadership', 'supervision']",noun,In depth studies in management are critical in finding solutions to an ever growing and complex world.,In depth studies in management are critical in finding solutions to an ever growing and complex world.,In depth studies in **management** are critical in finding solutions to an ever growing and complex world.
example,"['instance', 'occurrence', 'case']",adverb,"As an example, we all know that we need air to live.","As an example, we all know that we need air to live.","As an **example**, we all know that we need air to live."
communities,"['societies', 'populations', 'groups.']",noun,To start with I would like to disagree with the statement that young people nowadays do not give enough time to helping their communities.,To start with I would like to disagree with the statement that young people nowadays do not give enough time to helping their communities.,To start with I would like to disagree with the statement that young people nowadays do not give enough time to helping their **communities**.
desires,"['inclinations', 'wishes', 'aspirations']",noun,"Besides,I lost many desires to work or study in Europe because many people are so easy going about life because thier lives are protected by the government.","Besides,I lost many desires to work or study in Europe because many people are so easy going about life because thier lives are protected by the government.","Besides,I lost many **desires** to work or study in Europe because many people are so easy going about life because their lives are protected by the government."
common,"['prevailing', 'widespread', 'mainstream', 'prevalent']",adjective,"I disagree with that  common thought in developped countries which is, ageing brings with it sadness and boredom, and makes enjoying life hardly possible.","I disagree with that  common thought in developped countries which is, ageing brings with it sadness and boredom, and makes enjoying life hardly possible.","I disagree with that  **common** thought in developped countries which is, ageing brings with it sadness and boredom, and makes enjoying life hardly possible."
