target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences,proficiency_levels
every,"['each', 'all', 'any', 'every single']",adverb,The publicities and advertisements find to convinced people in every way about their products also these are false.,The publicities and advertisements find to convince people in every way about their products also these are false. ,The publicities and advertisements find to convince people in **every** way about their products also these are false.,low
idea,"['concept', 'thought', 'notion', 'view', 'perception']",noun,"Once we can get idea, then we can easily understand the topic.","Once we have an idea, then we can easily understand the topic. ","Once we have an **idea**, then we can easily understand the topic.",low
government,"['regime', 'administration', 'authority', 'institution']",adjective,In total government hold twice ativeties as many as that held in schools.,In total government held twice as many warriors as those held in schools. ,"In total, **government** held twice as many warriors as those held in schools.",low
better,"['optimally', 'more efficiently']",adverb,that's why they can achieve better results when compared to the normal people who think's the same,that's why they can achieve better results when compared to normal people who think's the same,that's why they can achieve **better** results when compared to normal people who think's the same.,low
more,"['additionally', 'further', 'extra']",adverb,But that's why this way to travel is more interesting than a group led because you discover more interesting thing about,But that's why this way of travelling is more interesting than a group led one because you discover more interesting things about,But that's why this way of travelling is **more** interesting than a group led one because you discover more interesting things about,low
so,"['quite', 'rather', 'somewhat']",adverb,"I'm a young woman that lived in a time where all I would have or do I could have or do, but I also lived in a small town, where there are not so much service than in bigger city, but i don't think it's a bad thing.","I'm a young woman that lived in a time when all I would have or do I could have or do, but I also lived in a small town, where there is not so much service than in bigger cities, but i don't think it's a bad thing. ","I'm a young woman that lived in a time when all I would have or do I could have or do, but I also lived in a small town, where there is not **so** much service than in bigger cities, but i don't think it's a bad thing.",low
transportation,"['mobility', 'transit', 'commuting']",noun,"As society becomes complicated, the transportation has become huge influence in our lives.","As society becomes complicated, transportation has become a huge influence in our lives. ","As society becomes complicated, **transportation** has become a huge influence in our lives.",low
car,"['automobile', 'vehicle', 'auto']",noun,then espically nowadays there is a car nearly in a family.,"Then, especially nowadays there is a car nearly in everyfamily. ","Then, especially nowadays there is a **car** nearly in everyfamily.",low
products,"['goods', 'items', 'commodities']",noun,All the products hire the celebrities to be their brand.,All the products hire celebrities to be their brand. ,All the **products** hire celebrities to be their brand.,low
nowadays,"['currently', 'presently', 'today']",adverb,"But nowaday, We can have  a lot of clothes and shoes.","But nowadays, We can have a lot of clothes and shoes. ","But **nowadays**, We can have a lot of clothes and shoes.",low
cycle,"['bicycle', 'bike', 'two-wheeler']",adjective,"then he brought the rope and he tied it to the handle with balancing the cycle he use to drive the cycle ,","then he brought the rope and he tied it to the handle, balancing the cycle he uses to drive the cycle ,","Then he brought the rope and he tied it to the handle, balancing the **cycle** he uses to drive the cycle.",low
very,"['incredibly', 'extremely', 'significantly', 'tremendously']",adverb,There are very differences in young and older people enjoy.,There are very big differences in how young and older people enjoy themselves. ,There are **very** big differences in how young and older people enjoy themselves.,low
long,"['extended', 'prolonged', 'lengthy']",adverb,It's becuse older people don't have enough power of dancing for a long time.,It's because older people don't have enough power of dancing for a long time. ,It's because older people don't have enough power of dancing for a **long** time.,low
feel,"['sense', 'perceive', 'comprehend']",verb,They only see some artist's original paintings and do not need feeling about the painting.,They only see some artists' original paintings and do not need to feel about the painting. ,They only see some artists' original paintings and do not need to **feel** about the painting.,low
understand,"['comprehend', 'grasp', 'apprehend', 'discern']",verb,"For example, when the students understand the ideas and concepts, that means they also can know the way to answer those question.","For example, when the students understand the ideas and concepts, that means they can also know the way to answer those questions. ","For example, when the students **understand** the ideas and concepts, that means they can also know the way to answer those questions.",low
result,"['consequently', 'therefore', 'thus', 'hence']",adverb,"As a result, I agree to having broad knowledge because it has a lot of advanteges, change realtionship between scinctist, and expand awaing.","As a result, I agree to having broad knowledge because it has a lot of advantages, changes relationships between scientists, and expands our horizons. ","As a **result**, I agree to having broad knowledge because it has a lot of advantages, changes relationships between scientists, and expands our horizons.",low
see,"['observe', 'notice', 'view']",verb,We can see many kinds of diet pill advertisements on magzine  or commercials on telvesion.,We can see many kinds of diet pill advertisements in magazines or commercials on television. ,We can **see** many kinds of diet pill advertisements in magazines or commercials on television.,low
city,"['metropolitan', 'urban', 'municipal']",noun,"In my opinoin,city history you had better find it.","In my opinion,city history you had better find it. ","In my opinion, **city** history you had better find it.",low
small,"['minor', 'trivial', 'minimal', 'slight']",adverb,In a word  I think that understand any small thing in our students lives  will save our lives and,In a word I think that understanding any small thing in our students' lives will save our lives and,In a word I think that understanding any **small** thing in our students' lives will save our lives and,low
buy,"['purchase', 'acquire', 'obtain']",verb,I thing that is the only best way to buy any things in life.,I think that is the only best way to buy any things in life. ,I think that is the only best way to **buy** any things in life.,low
different,"['distinct', 'unique', 'unlike']",adjective,"In the concludion, many advertising are so different from the genuine thing.","In conclusion, many advertisements are so different from the genuine thing. ","In conclusion, many advertisements are so **different** from the genuine thing.",low
bring,"['establish', 'institute', 'foster', 'promote']",verb,I think that the studies have to bring this balance betwenn the general culture and the specialisation.,I think that the studies have to bring this balance between the general culture and the specialisation. ,I think that the studies have to **bring** this balance between the general culture and the specialisation.,low
better,"['more effectively', 'more proficiently', 'more competently']",adverb,", I mean that we must help the young people in everything that will make them take care of time to help their communities , because the young people can do everything better than the other people , and this is because they have a streangh and the power to do difficlt works .",", I mean that we must help young people in everything that will make them take care of time to help their communities , because young people can do everything better than other people , and this is because they have a strength and the power to do difficult work . ","I mean that we must help young people in everything that will make them take care of time to help their communities, because young people can do everything **better** than other people, and this is because they have a strength and the power to do difficult work.",low
kind,"['type', 'sort', 'style']",noun,"One example of this kind of people are the successful people, who one day had a dream","One example of this kind of person is the successful people, who one day had a dream","One example of this **kind** of person is the successful people, who one day had a dream.",low
war,"['conflict', 'combat', 'struggle', 'battle']",noun,My grandfather joind the war as a soldier when he was 20s.,My grandfather joined the war as a soldier when he was in his 20s. ,My grandfather joined the **war** as a soldier when he was in his 20s.,low
correct,"['accurate', 'precise', 'proper', 'exact']",adjective,"but your process not correct that will let your teacher doubt you ""how did you get this answer ?","but your process is not correct that will make your teacher doubt you ""how did you get this answer ? ","but your **process** is not correct that will make your teacher doubt you ""how did you get this answer ?",low
increases,"['raises', 'boosts', 'escalates']",verb,In France Government increases taxes for cars in order to reduce cars .,In France government increases taxes on cars in order to reduce cars . ,In France government **increases** taxes on cars in order to reduce cars.,low
enough,"['ample', 'sufficient', 'adequate']",adverb,I think give enough time their communities is more desirable.,I think giving enough time to their communities is more desirable. ,I think giving **enough** time to their communities is more desirable.,low
picture,"['photo', 'image', 'illustration', 'snapshot']",noun,but you also are not sure that it whould be like the one which you saw at the picture before.,but you are also not sure that it would be like the one which you saw in the picture before. ,but you are also not sure that it would be like the one which you saw in the **picture** before.,low
points,"['aspects', 'elements', 'parts', 'features']",noun,To my mind both point of view are interstong but the last is better.,To my mind both points of view are interesting but the last is better. ,To my mind both **points** of view are interesting but the last is better.,low
create,"['cultivate', 'nurture', 'develop', 'foster', 'generate']",verb,dosent allow you to creat many friendsstuding many subjects alows you to ask many teachers about many sort of things example if you need a certain and specifc questions you need to ask the teacher who is specific in this subject but  if your studing one subject its diffucelt to ask other teacher about a question you want to ask,doesn't allow you to create many friends studying many subjects allows you to ask many teachers about many sorts of things example if you need a certain and specific question you need to ask the teacher who is specific in this subject but if you are studying one subject its difficult to ask anotherteacher about a question you want to ask,doesn't allow you to **create** many friends studying many subjects allows you to ask many teachers about many sorts of things example if you need a certain and specific question you need to ask the teacher who is specific in this subject but if you are studying one subject its difficult to ask anotherteacher about a question you want to ask.,low
far,"['greatly', 'significantly', 'largely']",adverb,I think such a trip is far from  enjoyment and relax.,I think such a trip is far from enjoyment and relaxation. ,I think such a trip is **far** from enjoyment and relaxation.,low
honestly,"['truthfully', 'candidly', 'genuinely']",adverb,they do the work honestly and sinciarly and achieve good results with ths,they do the work honestly and sincerely and achieve good results with this,they do the work **honestly** and sincerely and achieve good results with this.,low
meaning,"['signifying', 'representing', 'symbolizing', 'indicating']",verb,"The word chinese character of domitory  has roof, people, and hundred meaning of character.","The word chinese character of dormitory has roof, people, and hundred meaning of character. ","The word chinese character of dormitory has roof, people, and hundred **meaning** of character.",low
important,"['significant', 'crucial', 'essential', 'key']",adjective,"So, perhaps have the ""industrial world"" in one time a look to the ""third world"" to learn someting - the importend thing not forget to help.","So, perhaps we have the ""industrial world"" in one time a look to the ""third world"" to learn something- the important thing not forget to help. ","So, perhaps we have the ""industrial world"" in one time a look to the ""third world"" to learn something- the **important** thing not forget to help.",low
cars,"['vehicles', 'automobiles', 'autos']",noun,"Because people need cars to travel, to work, visit there family or friends, use it as a home if it was a van","Because people need cars to travel, to work, visit their family or friends, use them as a home if it is a van","Because people need **cars** to travel, to work, visit their family or friends, use them as a home if it is a van.",low
relax,"['unwind', 'chill', 'de-stress']",verb,and when they relax they could be happy.,and when they relax they can be happy. ,and when they **relax** they can be happy.,low
acquirent,"['buyer', 'consumer', 'client', 'customer']",noun,In this way they wants to convince the acquirent to buy a product who should be positively different  by an other from a different corporation.,In this way they want to convince the acquirent to buy a product who should be positively different from an other from a different corporation. ,In this way they want to convince the **acquirent** to buy a product who should be positively different from an other from a different corporation.,low
technology,"['innovation', 'device', 'gadget', 'instrument']",noun,"Young people were enjoying a lot with the help of new technology ,people were enjoying life  with there needs and the people were learning the education with the happiest way .","Young people were enjoying themselves a lot with the help of new technology ,people were enjoying life with their needs and people were learning education in the happiest way . ","Young people were enjoying themselves a lot with the help of new **technology**, people were enjoying life with their needs and people were learning education in the happiest way.",low
following,"['subsequent', 'succeeding', 'ensuing']",adjective,"In conclusion, I really agree with the following statement that most advertisement make products seem much better than they really are.","In conclusion, I really agree with the following statement that most advertisements make products seem much better than they really are. ","In conclusion, I really agree with the **following** statement that most advertisements make products seem much better than they really are.",low
story,"['narrative', 'tale', 'account']",noun,"Therefore, his story made by not just his own idea.","Therefore, his story is not just his own idea. ","Therefore, his **story** is not just his own idea.",low
learn,"['master', 'comprehend', 'grasp', 'acquire']",verb,"If I learn specialize in one apecific subject, It is a little place where I will work.","If I learn to specialize in one specific subject, It will be a little place where I will work. ","If I **learn** to specialize in one specific subject, It will be a little place where I will work.",low
burnt,"['damaged', 'injured', 'wounded', 'impaired.']",adjective,"Sometimes when my mother tells me that one of her friend that got a burnt eye took a surgry and got his/her normal eye back my mom's friend said "" I never knew that the world was this beatiful"" as she was amaze her eyes again became burt again.","Sometimes when my mother tells me that one of her friends that got a burnt eye had had surgery and got his/her normal eye back my mom's friend said "" I never knew that the world was this beautiful "" as she was amazed at her eyes again became brighter. ","Sometimes when my mother tells me that one of her friends that got a **burnt** eye had had surgery and got his/her normal eye back my mom's friend said "" I never knew that the world was this beautiful "" as she was amazed at her eyes again became brighter.",low
baby,"['infant', 'toddler', 'newborn', 'child']",noun,The first ont showed the bayby milk  with darty stuff and with sick child.,The first one showed the bayby milk with dirty stuff and with sick child. ,The first one showed the **baby** milk with dirty stuff and with sick child.,low
concept,"['assumption', 'belief', 'understanding', 'perception', 'notion']",adjective,"I thinkthe best solution that need family ,school and society share the duty to change young people's concept and attitude.","I thinkthe best solution is to have afamily ,school and society share the duty to change young people's concept and attitude. ","I think the best solution is to have a family, school and society share the duty to change young people's **concept** and attitude.",low
benefit,"['advantage', 'asset', 'plus', 'perk']",adjective,Other benefit of tour guide is that he knows all the ways to reach that place so the chances of lossed in any place will be very less.,Another benefit of a tour guide is that he knows all the ways to reach that place so the chances of being lost in any place will be very small. ,Another **benefit** of a tour guide is that he knows all the ways to reach that place so the chances of being lost in any place will be very small.,low
breaks,"['fails', 'collapses', 'malfunctions', 'crashes']",verb,"because, for example,American macine always has broken very soon.","because, for example, an American machine always breaks very soon. ","because, for example, an American machine always **breaks** very soon.",low
no longer,"['not anymore', 'not any longer', 'not now']",adverb,"Second, there are no longer much place to park cars, especially in many cities.","Second, there are no longer many places to park cars, especially in many cities. ","Second, there are **no longer** many places to park cars, especially in many cities.",low
First,"['Initially', 'Primarily', 'Fundamentally']",adverb,"Fristly, in the world of job the factories want the worker can be specialize to sector job.","First, in the world of jobs the factories want the worker to be specialized in a sector job. ","**First**, in the world of jobs the factories want the worker to be specialized in a sector job.",low
cars,"['vehicles', 'autos', 'automobiles']",noun,"so will be fewer cars, because cars produce many impacts for the environment.","so there will be fewer cars, because cars produce many impacts on the environment. ","so there will be fewer cars, because **cars** produce many impacts on the environment.",low
about,"['around', 'concerning', 'regarding']",adverb,and I found an article in internet about a book to find grest book.,and I found an article on the internet about a book to find the best book. ,And I found an article on the internet **about** a book to find the best book.,low
music,"['compositions', 'melodies', 'tracks']",noun,He try to sell his music in New York.,He tried to sell his music in New York. ,He tried to sell his **music** in New York.,low
ideas,"['thoughts', 'notions', 'concepts', 'beliefs']",adjective,Since we study  idea and the theory after we study the facts.,Since we study ideas and the theory after we study the facts. ,Since we study **ideas** and the theory after we study the facts.,low
try,"['attempt', 'strive', 'aim', 'seek']",verb,"or sometimes they are try to get ill, so then they would not go to army.","or sometimes they try to get ill, so then they will not go into the army. ","or sometimes they **try** to get ill, so then they will not go into the army.",low
knowledges,"['insights', 'understandings', 'awareness']",noun,"If we have a few knowledges about thier culture and speak their language a little, we can grow up language skills and our knowledges about othter culture.","If we have a few knowledges about their culture and speak their language a little, we can improve our language skills and our knowledge of other cultures. ","If we have a few **knowledges** about their culture and speak their language a little, we can improve our language skills and our knowledge of other cultures.",low
field,"['discipline', 'sector', 'profession', 'specialty']",noun,Because today you have to be one of the best in your field to success and to be able to answer to all questions.,Because today you have to be one of the best in your field to succeed and to be able to answer all questions. ,Because today you have to be one of the best in your **field** to succeed and to be able to answer all questions.,low
same,"['identical', 'similar', 'equivalent']",adjective,Students normally do same mistakes ragularly.,Students normally make the same mistakes randomly. ,Students normally make the **same** mistakes randomly.,low
products,"['goods', 'items', 'commodities', 'merchandise']",noun,"Recently, the products of advertisements have developed,so most advertisers advertise products much better than actual.","Recently, the products of advertisements have developed,so most advertisers advertise products much better than actually. ","Recently, the **products** of advertisements have developed,so most advertisers advertise products much better than actually.",low
young,"['juvenile', 'adolescent', 'teenage', 'youthful.']",adjective,Young person begin to their new life of them own.,Young people begin their new life on their own. ,**Young** people begin their new life on their own.,low
new,"['novel', 'fresh', 'recent', 'unique']",adjective,They only describing the new things.,They only describe the new things. ,They only describe the **new** things.,low
different,"['distinct', 'diverse', 'modified']",noun,"This question are very difficult, i mean that now are different the style of life that in the past.","This question is very difficult, i mean that now there is a different style of life than in the past. ","This question is very difficult, i mean that now there is a **different** style of life than in the past.",low
enjoying,"['relishing', 'appreciating']",verb,"young people were enjoying the life with there education, people that they are enjoying with the education and they were enjoying other activities also like sports.entertainment etc.","young people were enjoying life with their education, people that they are enjoying with their education and they were enjoying other activities also like sports. entertainment etc. ","young people were **enjoying** life with their education, people that they are enjoying with their education and they were enjoying other activities also like sports. entertainment etc.",low
knowledges,"['insights', 'understandings', 'information', 'familiarity']",noun,"If we have a few knowledges about thier culture and speak their language a little, we can grow up language skills and our knowledges about othter culture.","If we have a few knowledges about their culture and speak their language a little, we can improve our language skills and our knowledge of other cultures. ","If we have a few **knowledges** about their culture and speak their language a little, we can improve our language skills and our knowledge of other cultures.",low
comfort,"['ease', 'convenience', 'luxury']",noun,Only in that time we will start to think that the comfort that the use of car give us is transuent if we compare it with the long term benefits that we could have living in a clean enviroment.,Only in that time will we start to think that the comfort that the use of a car gives us is transient if we compare it with the long term benefits that we could have living in a clean environment. ,Only in that time will we start to think that the **comfort** that the use of a car gives us is transient if we compare it with the long term benefits that we could have living in a clean environment.,low
invention,"['creation', 'innovation', 'product', 'device']",noun,"For example, my father invested something 5 years ago, but the inventhing was not famous because, at that time, my father did not has money.","For example, my father invested something 5 years ago, but the invention was not famous because, at that time, my father did not have money. ","For example, my father invested something 5 years ago, but the **invention** was not famous because, at that time, my father did not have money.",low
get,"['secure', 'obtain', 'score']",verb,he will always try to get the best job to get money for hes child,he will always try to get the best job to get money for his child,he will always try to **get** the best job to get money for his child.,low
easier,"['quicker', 'smoother', 'simpler', 'promptly']",adverb,""" Understand process that would easier to know how to solve the problem but know the answer can't sure you know how to solve problem.",""" Understanding the process that would easier to know how to solve the problem but knowing the answer can't be sure you know how to solve the problem. ","""Understanding the process that would **easier** to know how to solve the problem but knowing the answer can't be sure you know how to solve the problem.""",low
prevent,"['hinder', 'impede', 'block']",adverb,One solution is restriction that person don't allow drive.,One solution is restrictions that prevent people from  driving. ,One solution is restrictions that **prevent** people from driving.,low
video,"['digital', 'computerized', 'electronic', 'online', 'interactive']",adjective,Also another reason that I think is that they always spend their time to play their video games.,Also another reason that I think is that they always spend their time playing their video games. ,Also another reason that I think is that they always spend their time playing their **video** games.,low
morethan,['This sentence is grammatically incorrect so there are no valid substitutes.'],noun,morethan today's car in 2020year.,morethan today's car in 2020. ,**morethan** today's car in 2020.,low
ambition,"['aspiration', 'desire', 'determination', 'drive']",adjective,"in the pass cople years there were alot of people that are successful, and so much ambition.","in the past couple of years there were alot of people that weresuccessful, and so much ambition. ","in the past couple of years there were alot of people that weresuccessful, and so much **ambition**.",low
sell,"['Trade', 'distribute', 'deal', 'market']",verb,because there is a lot of comptetion in the market and every product maker want to sell more  products than others.,because there is a lot of competition in the market and every product maker wants to sell more products than others. ,because there is a lot of competition in the market and every product maker wants to **sell** more products than others.,low
throw,"['discard', 'abandon', 'forsake']",verb,"as the chinese proverb said that""don't for apple to throw the melon"".if we don't make our nervous to  one point .then","as the chinese proverb said that "" don't for apple to throw the melon"". if we don't make our nerves one point . then","As the Chinese proverb said that ""don't **throw** the melon for an apple"". If we don't make our nerves one point, then.",low
correctly,"['appropriately', 'properly', 'accurately']",adjective,In their job or in their house they should concept evrything for them self to know it correctally or exactly .,In their job or in their house they should concept everything for themselves to know it correctly or exactly . ,In their job or in their house they should concept everything for themselves to know it **correctly** or exactly .,low
create,"['formulate', 'develop', 'devise', 'establish']",verb,"In conclusion, I agree with the statement, because we may create new other method to transport instead of cars and we may try to reduce the number of cars for our environment in the future.","In conclusion, I agree with the statement, because we may create other methods of transport instead of cars and we may try to reduce the number of cars in our environment in the future. ","In conclusion, I agree with the statement, because we may **create** other methods of transport instead of cars and we may try to reduce the number of cars in our environment in the future.",low
math,"['numerical', 'arithmetic', 'algebra']",adjective,My math teacher not only counts the answer.,My math teacher not only counts the answers. ,My **math** teacher not only counts the answers.,low
car,"['vehicle', 'automobile', 'transport']",noun,First of all the car is very important for a lot of people because the men need go to the work or at home or in generally we mast go for the city bat also out city whit freedom.,First of all the car is very important for a lot of people because men need to go to work or at home or in general we must go to the city and also out of the city withfreedom. ,First of all the **car** is very important for a lot of people because men need to go to work or at home or in general we must go to the city and also out of the city with freedom.,low
sell,"['market', 'trade', 'merchandise', 'retail']",verb,"For example, if people or consumer are watching advertisements on TV or magazine, people feel attracting the product because purpose ofcompany owner or advertisements owner sell much better than they relly making a lot of products.","For example, if people or consumers are watching advertisements on TV or in magazines, people feel attracted to the product because the purpose of the company owner or the advertisements owner sell much better than they really making a lot of products. ","For example, if people or consumers are watching advertisements on TV or in magazines, people feel attracted to the product because the purpose of the company owner or the advertisements owner **sell** much better than they really making a lot of products.",low
Second,"['Next', 'Furthermore', 'Additionally', 'Moreover']",adverb,"second, It is not impoossible to improve their ideas to facts.","second, It is not impossible to improve their ideas to facts. ","**Second**, It is not impossible to improve their ideas to facts.",low
eye,"['iris', 'pupil', 'retina']",noun,"Althought, they make the eye content have a lot of the colors, and then given to the people want their eye change color and more petty.","Although, they make the eye content have a lot of colors, and then given to people who want their eyes to change color and more petty. ","Although, they make the **eye** content have a lot of colors, and then given to people who want their eyes to change color and more petty.",low
things,"['aspects', 'elements', 'factors', 'details', 'topics']",noun,I hope that I will learn many things to know somethings on,I hope that I will learn many things to know something on,I hope that I will learn many **things** to know something on.,low
causes,"['triggers', 'leads to', 'brings about', 'produces']",verb,Many old people have problems in their mucels and that made pain for them.,Many old people have problems in their muscles and that causes pain for them. ,Many old people have problems in their muscles and that **causes** pain for them.,low
particular,"['certain', 'specific', 'selected', 'specialized', 'individual']",adverb,"For example, in the higher level education universities offering only in perticular subject rather than on prefer in more subjects.","For example, in higher level education universities offer only in particular subjects rather than on preference in more subjects. ","For example, in higher level education universities offer only in **particular** subjects rather than on preference in more subjects.",low
better,"['higher', 'improved', 'superior', 'enhanced', 'advanced']",adjective,Innovation give us better quality of life.,Innovation gives us a better quality of life. ,Innovation gives us a **better** quality of life.,low
think,"['contemplate', 'consider', 'reflect']",verb,"Person can only think about one way of thinking, he is very danger.","A person can only think about one way of thinking, he is very dangerous. ","A person can only **think** about one way of thinking, he is very dangerous.",low
problem,"['issue', 'obstacle', 'challenge', 'difficulty']",noun,"but this is not big problem as they can do by suding before exams until they can play,can do parties,go to movies,can go to tours.","but this is not a big problem as they can do by studying before exams until they can play,can do parties,go to movies,can go on tours. ","but this is not a big **problem** as they can do by studying before exams until they can play, can do parties, go to movies, can go on tours.",low
more,"['further', 'additional', 'extra']",adverb,"If we learn many subjects , it gives us more confedince and sucsses.although ,learning more subjects gives us a huge knowledge  which is  make me sucssesfu in my study.","If we learn many subjects , it gives us more confidence and success. although ,learning more subjects gives us huge knowledge which makes me successful in my studies. ","If we learn many subjects , it gives us more **confidence** and success. although ,learning more subjects gives us huge knowledge which makes me successful in my studies.",low
rare,"['seldom', 'unusually', 'infrequently']",adverb,"But are rare to have other person and other friend that make the same way that i cross, now the style of live think at the individual person and to grow up your personality, in difficult to see lot of person that help other...","But it is rare to have other people and other friends that make the same way that i cross, now the style of living thinks of the individual person and how to grow up your personality . It is difficult to see a lot of people that help each other. .. ","But it is **rare** to have other people and other friends that make the same way that I cross, now the style of living thinks of the individual person and how to grow up your personality . It is difficult to see a lot of people that help each other. ..",low
more,"['increasingly', 'relatively', 'comparatively']",adverb,it is more impotant in the  undergraduate level.,it is more important at the undergraduate level. ,It is **more** important at the undergraduate level.,low
cartoons,"['animations', 'comedies', 'series']",noun,"every years , they will have new cartoons to show us .","every year, they will have new cartoons to show us . ","every year, they will have new **cartoons** to show us.",low
helping,"['assisting', 'aiding', 'supporting']",verb,As the world growing faster the helping nature is going down.people are eager to earn money they do not want to help fellow people when they are in need.,"As the world is growing faster, helping nature is going down. people are eager to earn money and they do not want to help fellow people when they are in need. ","As the world is growing faster, **helping** nature is going down. people are eager to earn money and they do not want to help fellow people when they are in need.",low
activities,"['events', 'functions', 'programs', 'initiatives']",noun,"Second, activeties held by government or communities also give children a lot of time to help thier communities.","Second, activities held by the government or communities also give children a lot of time to help their communities. ","Second, **activities** held by the government or communities also give children a lot of time to help their communities.",low
enjoy,"['relish', 'appreciate', 'savor', 'cherish', 'delight']",verb,"Older person enjoy more family and associate, compared with young person enjoy more themself and friend.","Older people enjoy more family and friends, compared with young people enjoy more themselves and friends. ","Older people **enjoy** more family and friends, compared with young people enjoy more themselves and friends.",low
person,"['individual', 'human', 'character']",noun,One person if  don't have good health that means so many things they could lost.,One person who doesn't have good health means so many things they could lose. ,One **person** who doesn't have good health means so many things they could lose.,low
try,"['strive', 'attempt', 'endeavor']",adverb,That is why I know many students around me tried to attending communities and helping them.,That is why I know many students around me try to attend communities and help them. ,That is why I know many students around me **try** to attend communities and help them.,low
factory,"['plant', 'workshop']",adverb,"for example veicles, turbomachines, industrials fields, materials... at the end you must to do an work's  experience in a factory.","for example vehicles , turbomachines, industrialfields, materials. .. at the end you must do work experience in a factory. ","for example vehicles , turbomachines, industrial fields, materials. .. at the end you must do work experience in a **factory**.",low
civil,"['civic', 'public', 'communal', 'societal']",adjective,"Specially before the italian governament as instuited the ""civil service"" that provide to bring them into a social circle to help the communities than have few person.","Especially before the italian government as instuited the ""civil service"" that provides to bring them into a social circle to help the communities than have few people. ","Especially before the italian government as instuited the ""**civil** service"" that provides to bring them into a social circle to help the communities than have few people.",low
he,['he himself'],verb,"He is one of the great ,scintilllating and dynamic strongconsistancy person in India.he is one of the successful person .Actually","He is one of the great , scintillating and dynamic powerful consistency people in India. he is one of the successful people. Actually","He is one of the great , scintillating and dynamic powerful consistency people in India. **he** is one of the successful people. Actually",low
history,"['background', 'past', 'chronicles']",noun,"For history and math or other things to learn, first thing that you have to understand.","For history and math or other things to learn, the first thing is that you have to understand. ","For **history** and math or other things to learn, the first thing is that you have to understand.",low
subjects,"['disciplines', 'fields', 'areas', 'topics']",adjective,"If u do a job it is not only connected to ur subjects but also to other llike how to manage a problem if u faced,and how to communicate with the other people.","If you do a job it is not only connected to your subjects but also to other things like how to manage a problem if you face  it,and how to communicate with other people. ","If you do a job it is not only connected to your **subjects** but also to other things like how to manage a problem if you face  it,and how to communicate with other people.",low
roads,"['highways', 'routes', 'streets']",noun,the government may build more roads so that provide the translation.,the government may build more roads so that they provide translation. ,the government may build more **roads** so that they provide translation.,low
show,"['reveal', 'demonstrate', 'exhibit', 'depict']",verb,"To show the truth of the things may be not well at that time, but it is a good way to change to the best.","To show the truth of things may not be well at that time, but it is a good way to change to the best. ","To **show** the truth of things may not be well at that time, but it is a good way to change to the best.",low
enterprise,"['business', 'venture', 'project', 'undertaking']",noun,"For instances, when Wosniak is bigining with his emprise he must decided about his job in HP .","For instance, when Wosniak is beginning his enterprise he must decide about his job at HP . ","For instance, when Wosniak is beginning his **enterprise** he must decide about his job at HP .",low
house,"['home', 'property', 'residence']",noun,"while aldey people have found thir life and worked har and by that time offcourse they have made alot off many to buy a nice hosue , and they maybe dont have find work , espacially it is not essy to find job these days , and everything is expensive not like it use to be for the older people , also the real estate has gown up which made it difficult for youn ones to buy a house this is also was advantages for older people.","while aldey people have found their life and worked hard and by that time of course they have made alot off a lot to buy a nice house , and they maybe dont have to find work , especially it is not easy to find a job these days , and everything is expensive not like it used to be for the older people , also the real estate has gown up which made it difficult for youn ones to buy a house this is also was advantages for older people. ","while aldey people have found their life and worked hard and by that time of course they have made alot off a lot to buy a **house**, and they maybe dont have to find work , especially it is not easy to find a job these days , and everything is expensive not like it used to be for the older people , also the real estate has gown up which made it difficult for youn ones to buy a house this is also was advantages for older people.",low
destroy,"['ruin', 'shatter', 'wreck']",verb,"I mean I can get rid of those sound from the guild and noisy people,for example, If I want to go shoping, but the guild is calling you ,so I think I have no mood to buy or to see, on the other hand, you will feel so bad noisy form those people in your group when you buying things, all of these will destroy your mood.","I mean I can get rid of those sounds from the guild and noisy people,for example, If I want to go shopping, but the guild is calling you ,so I think I am in no mood to buy or to see, on the other hand, you will feel so bad noisy from those people in your group when you buy things, all of these will destroy your mood. ","I mean I can get rid of those sounds from the guild and noisy people,for example, If I want to go shopping, but the guild is calling you ,so I think I am in no mood to buy or to see, on the other hand, you will feel so bad noisy from those people in your group when you buy things, all of these will **destroy** your mood.",low
new,"['innovative', 'emerging', 'fresh', 'undiscovered']",adjective,"We do not know the new energy will be found, so we cannot predicate the future.","We do not know whether new energy will be found, so we cannot predicate the future. ","We do not know whether **new** energy will be found, so we cannot predicate the future.",low
important,"['significant', 'essential', 'fundamental']",adjective,"Altough important role  of advertising , many promotion is not talking about  the true.","Although an important role of advertising , much promotion is not talking about the truth. ","Although an **important** role of advertising , much promotion is not talking about the truth.",low
succeed,"['triumph', 'prosper', 'prevail', 'thrive', 'flourish']",verb,In trying new things they may success and  may fail,In trying new things they may succeed and may fail,In trying new things they may **succeed** and may fail.,low
constant,"['continuous', 'persistent', 'steady', 'continual']",adverb,"Alao, I agree that the time is limet the young people to enjoy their life, but  constrant the advantages, this will became not improtant.","Also, I agree that time is limited for young people to enjoy their life, but constant the advantages, this will not become important. ","Also, I agree that time is limited for young people to enjoy their life, but **constant** the advantages, this will not become important.",low
waste,"['squander', 'misuse']",adjective,"Second,  I don't want to pay waste mony using a tour guide.","Second, I don't want to waste money using a tour guide. ","Second, I don't want to **waste** money using a tour guide.",low
