target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences
sworn,"['take an oath', 'swear by', 'pledge', 'testify', 'state under oath', 'swear to god']",VERB,“It is. I would have sworn to you that he was dead. He should be.,“It is. I would have sworn to you that he was dead. He should be.,“It is. I would have **sworn** to you that he was dead. He should be.
things,"['stuff', 'incident']",NOUN,"Nathan’s Bylichka
            
            Dedicated to Neil Gaiman, Radiohead and Black Sabbath
            
            Strange things have always happened to my family. It came in through my mother's blood; my Russian grandmother would always tell me stories, bylichkas, of ancestors with the ""second sight"", stupid mill owners who discovered bags of gold after letting a special fish off their hooks, and dark strangers who used to appear to help or interfere at crucial times.","Nathan’s Bylichka
            
            Dedicated to Neil Gaiman, Radiohead and Black Sabbath
            
            Strange things have always happened to my family. It came in through my mother's blood; my Russian grandmother would always tell me stories, bylichkas, of ancestors with the ""second sight"", stupid mill owners who discovered bags of gold after letting a special fish off their hooks, and dark strangers who used to appear to help or interfere at crucial times.","Nathan’s Bylichka
            
            Dedicated to Neil Gaiman, Radiohead and Black Sabbath
            
            Strange **things** have always happened to my family. It came in through my mother's blood; my Russian grandmother would always tell me stories, bylichkas, of ancestors with the ""second sight"", stupid mill owners who discovered bags of gold after letting a special fish off their hooks, and dark strangers who used to appear to help or interfere at crucial times."
name,"['name', 'first name']",NOUN,"I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.”
            “You’ve got a deal.","I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my name.”
            “You’ve got a deal.","I caught my breath and forced myself to look him in the eye. “Only if you stop beginning every sentence with my **name**.”
            “You’ve got a deal."
go,"['abide', 'proceed']",VERB,"Again, I do not have all of the information for July and August, so I
					cannot give you any numbers. If I go by what is currently in the
					system as a guide, Pasadena would owe Enron a little over $1 mil. I
					need to forecast the money today, so please let me know what you would
					like to do.","Again, I do not have all of the information for July and August, so I
					cannot give you any numbers. If I go by what is currently in the
					system as a guide, Pasadena would owe Enron a little over $1 mil. I
					need to forecast the money today, so please let me know what you would
					like to do.","Again, I do not have all of the information for July and August, so I
					cannot give you any numbers. If I **go** by what is currently in the
					system as a guide, Pasadena would owe Enron a little over $1 mil. I
					need to forecast the money today, so please let me know what you would
					like to do."
flow,"['stream', 'transfer', 'transmission']",NOUN,"IRAQ-POVERTY (Washington)
			Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer flow
				of food and medicine into Iraq. Hall, who recently returned from a trip
				to Iraq, said U.N. economic sanctions have hurt millions of civilians
				there.","IRAQ-POVERTY (Washington)
			Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer flow
				of food and medicine into Iraq. Hall, who recently returned from a trip
				to Iraq, said U.N. economic sanctions have hurt millions of civilians
				there.","IRAQ-POVERTY (Washington)
			Rep. Tony Hall, D-Ohio, urges the United Nations to allow a freer **flow**
				of food and medicine into Iraq. Hall, who recently returned from a trip
				to Iraq, said U.N. economic sanctions have hurt millions of civilians
				there."
tried,"['make an effort', 'make an attempt', 'attempt', 'strive']",VERB,"He’s sitting right there at the bar!”
            Dvorov tried to peek through the crowd, but it had shifted again and we couldn’t see a thing. “I don’t think he’s there,” Dvorov shouted to me.","He’s sitting right there at the bar!”
            Dvorov tried to peek through the crowd, but it had shifted again and we couldn’t see a thing. “I don’t think he’s there,” Dvorov shouted to me.","He’s sitting right there at the bar!”
            Dvorov **tried** to peek through the crowd, but it had shifted again and we couldn’t see a thing. “I don’t think he’s there,” Dvorov shouted to me."
thin,"['slender', 'skinny', 'lean', 'fine, light, slender', 'bony', 'scrawny', 'narrow', 'lanky', 'skeletal', 'delicate']",ADJ,"Leaning from the rough-hewn window of one building on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed. I noticed when my back hit the wall that I was walking backwards.","Leaning from the rough-hewn window of one building on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed. I noticed when my back hit the wall that I was walking backwards.","Leaning from the rough-hewn window of one building on our right was some**thin**g with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed. I noticed when my back hit the wall that I was walking backwards."
moving,"['proceed', 'proceeding', 'budge']",NOUN,"There’s no time to waste.” 
            He saw that I wasn’t moving. Setting an arm on my shoulder, he said, “Nathan, what you see here might be frightening, but those things you saw are people just like you.","There’s no time to waste.” 
            He saw that I wasn’t moving. Setting an arm on my shoulder, he said, “Nathan, what you see here might be frightening, but those things you saw are people just like you.","There’s no time to waste.” 
            He saw that I wasn’t **moving**. Setting an arm on my shoulder, he said, “Nathan, what you see here might be frightening, but those things you saw are people just like you."
people,"['folks', 'persons', 'mortals', 'folk', 'humans']",NOUN,“I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people. One wrong word and you find yourself cursed with infinite earwax or something.,“I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people. One wrong word and you find yourself cursed with infinite earwax or something.,“I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those **people**. One wrong word and you find yourself cursed with infinite earwax or something.
access,"['admission, means of entry, approach', 'entry']",NOUN,"For
information about becoming a client of this service, contact the
New York Times Syndicate sales representatives listed at the end of
the text.)  
BY CHRISTINE SOARES  
 c.2002 Scientific American  
 
    Intending to ease consumer access to mental health care, New
Mexico legislators in March passed a law allowing psychologists to
prescribe psychotropic medications, such as antidepressants.
 
    The state's action, the first in the nation, has the blessing of
the American Psychological Association (APA), which considers
prescriptive authority a logical extension of psychologists' role
as health-care providers.","For
information about becoming a client of this service, contact the
New York Times Syndicate sales representatives listed at the end of
the text.)  
BY CHRISTINE SOARES  
 c.2002 Scientific American  
 
    Intending to ease consumer access to mental health care, New
Mexico legislators in March passed a law allowing psychologists to
prescribe psychotropic medications, such as antidepressants.
 
    The state's action, the first in the nation, has the blessing of
the American Psychological Association (APA), which considers
prescriptive authority a logical extension of psychologists' role
as health-care providers.","For
information about becoming a client of this service, contact the
New York Times Syndicate sales representatives listed at the end of
the text.)  
BY CHRISTINE SOARES  
 c.2002 Scientific American  
 
    Intending to ease consumer **access** to mental health care, New
Mexico legislators in March passed a law allowing psychologists to
prescribe psychotropic medications, such as antidepressants.
 
    The state's action, the first in the nation, has the blessing of
the American Psychological Association (APA), which considers
prescriptive authority a logical extension of psychologists' role
as health-care providers."
strong,"['big', 'sturdy', 'certain', 'well-established', 'powerful', 'secure', 'firm', 'substantial', 'formidable', 'overpowering', 'solid', 'sharp', 'major', 'robust', 'clearcut']",ADJ,"The factory will produce a wide range of specialized
semiconductors used in everything from the largest mainframe
computers to cell phones and video-game consoles.


   The new plant is part of IBM's push to gain a strong lead in
chip-making beyond the personal computer business, where Intel and
East Asian chip producers hold the advantage.


   ""The core of our strategy is to lead in technology and attack
the high-performance segments of the market,"" said John Kelly,
senior vice president in charge of IBM's technology group.","The factory will produce a wide range of specialized
semiconductors used in everything from the largest mainframe
computers to cell phones and video-game consoles.


   The new plant is part of IBM's push to gain a strong lead in
chip-making beyond the personal computer business, where Intel and
East Asian chip producers hold the advantage.


   ""The core of our strategy is to lead in technology and attack
the high-performance segments of the market,"" said John Kelly,
senior vice president in charge of IBM's technology group.","The factory will produce a wide range of specialized
semiconductors used in everything from the largest mainframe
computers to cell phones and video-game consoles.


   The new plant is part of IBM's push to gain a **strong** lead in
chip-making beyond the personal computer business, where Intel and
East Asian chip producers hold the advantage.


   ""The core of our strategy is to lead in technology and attack
the high-performance segments of the market,"" said John Kelly,
senior vice president in charge of IBM's technology group."
stands,"['kiosk', 'booth']",NOUN,"We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town. The sky, cupping over squat buildings, was less yellow here, and stands were set up everywhere the way I’d picture a market in the Middle East. Nepthys took us immediately to the right, where he led us to a cart filled with herbs.","We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town. The sky, cupping over squat buildings, was less yellow here, and stands were set up everywhere the way I’d picture a market in the Middle East. Nepthys took us immediately to the right, where he led us to a cart filled with herbs.","We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town. The sky, cupping over squat buildings, was less yellow here, and **stands** were set up everywhere the way I’d picture a market in the Middle East. Nepthys took us immediately to the right, where he led us to a cart filled with herbs."
things,['object'],NOUN,"His skin was brown and stretched, like some diseased sapling’s bark. It pulled back around his fingertips, which bore things that might have been nails or claws. When he grinned, I saw that his teeth were sharp and small, like a hunting cat’s.","His skin was brown and stretched, like some diseased sapling’s bark. It pulled back around his fingertips, which bore things that might have been nails or claws. When he grinned, I saw that his teeth were sharp and small, like a hunting cat’s.","His skin was brown and stretched, like some diseased sapling’s bark. It pulled back around his fingertips, which bore **things** that might have been nails or claws. When he grinned, I saw that his teeth were sharp and small, like a hunting cat’s."
gasped,"['draw breath in sharply', 'breathe hard']",VERB,"Her hands twitched and a drop of blood shook out, splashing on the crease of her thigh and hanging to one strand of the black hair between her legs. She gasped and the dark glow went out, taking the blood with it in a flash of heat and red steam. Isis collapsed on the fur, strings cut.","Her hands twitched and a drop of blood shook out, splashing on the crease of her thigh and hanging to one strand of the black hair between her legs. She gasped and the dark glow went out, taking the blood with it in a flash of heat and red steam. Isis collapsed on the fur, strings cut.","Her hands twitched and a drop of blood shook out, splashing on the crease of her thigh and hanging to one strand of the black hair between her legs. She **gasped** and the dark glow went out, taking the blood with it in a flash of heat and red steam. Isis collapsed on the fur, strings cut."
over,"['finish', 'conclude', 'settle', 'end']",ADV,"Karnes, like the hundreds of others gathered along the flight
line, was jubilant. He knew the war would soon be over and he would
be heading home. A yearof secrecy and hard work wasover.","Karnes, like the hundreds of others gathered along the flight
line, was jubilant. He knew the war would soon be over and he would
be heading home. A yearof secrecy and hard work wasover.","Karnes, like the hundreds of others gathered along the flight
line, was jubilant. He knew the war would soon be **over** and he would
be heading home. A yearof secrecy and hard work wasover."
next,"['following', 'coming', 'subsequent']",ADJ,"She told me that she was heading for a drink and slipped out of the crowd. 
            When she hadn’t come back halfway through the next song, I glanced over at the bar. It was just a little set-up where someone had stacked a few crates and brought something alcoholic to share, mostly beer.","She told me that she was heading for a drink and slipped out of the crowd. 
            When she hadn’t come back halfway through the next song, I glanced over at the bar. It was just a little set-up where someone had stacked a few crates and brought something alcoholic to share, mostly beer.","She told me that she was heading for a drink and slipped out of the crowd. 
            When she hadn’t come back halfway through the **next** song, I glanced over at the bar. It was just a little set-up where someone had stacked a few crates and brought something alcoholic to share, mostly beer."
mind,"['thought', 'thoughts']",NOUN,"She never subscribed to cuisine minceur, cholesterol-free
cooking, meat-free meal plans, organic food or any of the other
politically correct trends of different times -- and that includes
restricted diets, in spades.


   However, an active woman all her life, she is aware of the
need to keep ones weight and fitness in mind. Here are her
personal rules for achieving these goals:","She never subscribed to cuisine minceur, cholesterol-free
cooking, meat-free meal plans, organic food or any of the other
politically correct trends of different times -- and that includes
restricted diets, in spades.


   However, an active woman all her life, she is aware of the
need to keep ones weight and fitness in mind. Here are her
personal rules for achieving these goals:","She never subscribed to cuisine minceur, cholesterol-free
cooking, meat-free meal plans, organic food or any of the other
politically correct trends of different times -- and that includes
restricted diets, in spades.


   However, an active woman all her life, she is aware of the
need to keep ones weight and fitness in **mind**. Here are her
personal rules for achieving these goals:"
look,['search'],VERB,"“I found your vampire,” she said, “but he might know that someone’s looking for him. He’s taken great pains to keep himself hidden. You should look for him at Dvorov’s as quickly as you can.” She turned to me with tired sympathy.","“I found your vampire,” she said, “but he might know that someone’s looking for him. He’s taken great pains to keep himself hidden. You should look for him at Dvorov’s as quickly as you can.” She turned to me with tired sympathy.","“I found your vampire,” she said, “but he might know that someone’s **look**ing for him. He’s taken great pains to keep himself hidden. You should look for him at Dvorov’s as quickly as you can.” She turned to me with tired sympathy."
small,"['petite', 'little', 'tiny', 'undersized']",ADJ,"A moment later, he opened them again and stepped aside to let us in. Nepthys walked straight past him and I tried to keep up, taking Amy’s small hand so that she wouldn’t lag behind. I shivered as I walked past the pale man’s blank eyes, wondering what they were staring at.","A moment later, he opened them again and stepped aside to let us in. Nepthys walked straight past him and I tried to keep up, taking Amy’s small hand so that she wouldn’t lag behind. I shivered as I walked past the pale man’s blank eyes, wondering what they were staring at.","A moment later, he opened them again and stepped aside to let us in. Nepthys walked straight past him and I tried to keep up, taking Amy’s **small** hand so that she wouldn’t lag behind. I shivered as I walked past the pale man’s blank eyes, wondering what they were staring at."
only,"['solely', 'exclusively', 'just', 'merely']",ADV,"Even rank amateurs can do it if they spend a few thousand dollars
				for a commercially available microwave receiver with amplifier and a VCR
				recorder. They need only position themselves near a company's satellite
				dish and wait. ""You can have a dozen competitors stealing your secrets
				at the same time,"" Mr. Matchett said, adding : ""It's a pretty good bet
				they won't get caught.""","Even rank amateurs can do it if they spend a few thousand dollars
				for a commercially available microwave receiver with amplifier and a VCR
				recorder. They need only position themselves near a company's satellite
				dish and wait. ""You can have a dozen competitors stealing your secrets
				at the same time,"" Mr. Matchett said, adding : ""It's a pretty good bet
				they won't get caught.""","Even rank amateurs can do it if they spend a few thousand dollars
				for a commercially available microwave receiver with amplifier and a VCR
				recorder. They need **only** position themselves near a company's satellite
				dish and wait. ""You can have a dozen competitors stealing your secrets
				at the same time,"" Mr. Matchett said, adding : ""It's a pretty good bet
				they won't get caught."""
areas,"['location', 'region', 'place', 'neck of the woods', 'territory', 'zone', 'locality']",NOUN,"Contrary to what some restaurants and retailers tell their
customers, the U.S. government does not consider the Chilean
seabass to be endangered. But in some areas, the seabass are being
overfished.


   That is potentially a problem because Chilean seabass are a
long-lived species -- living as long as 50 years -- and reproduce
slowly, said Susan Buchanan, a spokeswoman for the federal
government's National Marine Fisheries Service.","Contrary to what some restaurants and retailers tell their
customers, the U.S. government does not consider the Chilean
seabass to be endangered. But in some areas, the seabass are being
overfished.


   That is potentially a problem because Chilean seabass are a
long-lived species -- living as long as 50 years -- and reproduce
slowly, said Susan Buchanan, a spokeswoman for the federal
government's National Marine Fisheries Service.","Contrary to what some restaurants and retailers tell their
customers, the U.S. government does not consider the Chilean
seabass to be endangered. But in some **areas**, the seabass are being
overfished.


   That is potentially a problem because Chilean seabass are a
long-lived species -- living as long as 50 years -- and reproduce
slowly, said Susan Buchanan, a spokeswoman for the federal
government's National Marine Fisheries Service."
leech,"['bloodsucker', 'blood sucker']",NOUN,"“Roll up your sleeves,” she told me. She opened the bowl and carefully, gingerly brought out a fat, dripping leech. It must have been larger than my finger.","“Roll up your sleeves,” she told me. She opened the bowl and carefully, gingerly brought out a fat, dripping leech. It must have been larger than my finger.","“Roll up your sleeves,” she told me. She opened the bowl and carefully, gingerly brought out a fat, dripping **leech**. It must have been larger than my finger."
cold,"['icy', 'freezing', 'chilled', 'chilly', 'frigid', 'cool', 'frosty', 'chill']",ADJ,"I closed the phone. 
            Walking out of the church, a little gust of cold air caught me by surprise. A cold front must have hit while I was inside.","I closed the phone. 
            Walking out of the church, a little gust of cold air caught me by surprise. A cold front must have hit while I was inside.","I closed the phone. 
            Walking out of the church, a little gust of **cold** air caught me by surprise. A cold front must have hit while I was inside."
way,['direction'],NOUN,"“Just at this corner,” he said, interrupting my immanent panic attack, “we’re going to stop and turn three times widdersh – er, counterclockwise, then face east. East is that way.” He pointed at the wall to our right.","“Just at this corner,” he said, interrupting my immanent panic attack, “we’re going to stop and turn three times widdersh – er, counterclockwise, then face east. East is that way.” He pointed at the wall to our right.","“Just at this corner,” he said, interrupting my immanent panic attack, “we’re going to stop and turn three times widdersh – er, counterclockwise, then face east. East is that **way**.” He pointed at the wall to our right."
know,"['have knowledge of', 'be acquainted', 'be familiar with']",VERB,"“I’m in the car. Now, will you tell me how you know my family, and how you happened to be driving by just now? In fact, why didn’t you call me by name the first time?","“I’m in the car. Now, will you tell me how you know my family, and how you happened to be driving by just now? In fact, why didn’t you call me by name the first time?","“I’m in the car. Now, will you tell me how you **know** my family, and how you happened to be driving by just now? In fact, why didn’t you call me by name the first time?"
few,"['matter of', 'couple']",ADJ,"She waved down a car and pulled me in. In a few minutes, we were getting out a block down from the abandoned church. After she paid the driver, she grabbed my arm, laughing, and we ran down the street.","She waved down a car and pulled me in. In a few minutes, we were getting out a block down from the abandoned church. After she paid the driver, she grabbed my arm, laughing, and we ran down the street.","She waved down a car and pulled me in. In a **few** minutes, we were getting out a block down from the abandoned church. After she paid the driver, she grabbed my arm, laughing, and we ran down the street."
family,['kinfolk'],NOUN,"“Who’s the freak?”
            “This is someone from Ivan’s family. Did I ever tell you about them?”","“Who’s the freak?”
            “This is someone from Ivan’s family. Did I ever tell you about them?”","“Who’s the freak?”
            “This is someone from Ivan’s **family**. Did I ever tell you about them?”"
occasional,"['infrequent', 'unfrequent', 'sporadic', 'off and on', 'intermittent', 'uncommon']",ADJ,"As she brought out the key, she said, “We deal mostly in fairly mundane trades, but there are a few customers with more unusual needs and people willing to sell unusual items. We’ve had genies, indentured sorcerers, even golems and the occasional elf. This is one of the stranger items, though.","As she brought out the key, she said, “We deal mostly in fairly mundane trades, but there are a few customers with more unusual needs and people willing to sell unusual items. We’ve had genies, indentured sorcerers, even golems and the occasional elf. This is one of the stranger items, though.","As she brought out the key, she said, “We deal mostly in fairly mundane trades, but there are a few customers with more unusual needs and people willing to sell unusual items. We’ve had genies, indentured sorcerers, even golems and the **occasional** elf. This is one of the stranger items, though."
girl,"['young woman', 'young lady', 'female', 'young female person', 'gal', 'woman']",NOUN,"She turned to me with tired sympathy. “I didn’t see a girl with him. Hurry, though, and you might find him before he leaves.”","She turned to me with tired sympathy. “I didn’t see a girl with him. Hurry, though, and you might find him before he leaves.”","She turned to me with tired sympathy. “I didn’t see a **girl** with him. Hurry, though, and you might find him before he leaves.”"
stood,['arise'],VERB,"“One of these will lead you out.”
            I stood, and one of her servants took me and Amy to the door. I looked back to see Nepthys whispering something to her.","“One of these will lead you out.”
            I stood, and one of her servants took me and Amy to the door. I looked back to see Nepthys whispering something to her.","“One of these will lead you out.”
            I **stood**, and one of her servants took me and Amy to the door. I looked back to see Nepthys whispering something to her."
office,"['office', 'place of business', 'agency']",NOUN,"In 1996 the WHO found that much of the population existed in a state of
				``semi starvation.''
			Hall will be only the second member of Congress to travel in Iraq since
				the war, according to Hall's office. The last visitor was then-U.S. Rep.
				Bill Richardson of New Mexico, who went to help a pair of U.S. oilmen in
				diplomatic trouble.","In 1996 the WHO found that much of the population existed in a state of
				``semi starvation.''
			Hall will be only the second member of Congress to travel in Iraq since
				the war, according to Hall's office. The last visitor was then-U.S. Rep.
				Bill Richardson of New Mexico, who went to help a pair of U.S. oilmen in
				diplomatic trouble.","In 1996 the WHO found that much of the population existed in a state of
				``semi starvation.''
			Hall will be only the second member of Congress to travel in Iraq since
				the war, according to Hall's **office**. The last visitor was then-U.S. Rep.
				Bill Richardson of New Mexico, who went to help a pair of U.S. oilmen in
				diplomatic trouble."
seen,"['notice', 'run into', 'catch sight of', 'observe', 'lay eyes on', 'meet', 'witness']",VERB,"“I’ve looked into it a little, and I do think we might be dealing with one of them. Have you seen anyone like that in your club?”
            “Not that I can remember, man.","“I’ve looked into it a little, and I do think we might be dealing with one of them. Have you seen anyone like that in your club?”
            “Not that I can remember, man.","“I’ve looked into it a little, and I do think we might be dealing with one of them. Have you **seen** anyone like that in your club?”
            “Not that I can remember, man."
considered,"['contemplate', 'think over', 'ponder', 'think about', 'analyze', 'take into account']",VERB,"“What would convince you to part with it?”
            She considered this, looking him over. “You wouldn’t give me the human, would you?","“What would convince you to part with it?”
            She considered this, looking him over. “You wouldn’t give me the human, would you?","“What would convince you to part with it?”
            She **considered** this, looking him over. “You wouldn’t give me the human, would you?"
writes,"['report', 'be a writer']",VERB,"In his heart, he holds the unshakable conviction that the
mission he helped organize saved America from disaster.


   Denise Gamino writes for the Austin (Texas) American-Statesman.","In his heart, he holds the unshakable conviction that the
mission he helped organize saved America from disaster.


   Denise Gamino writes for the Austin (Texas) American-Statesman.","In his heart, he holds the unshakable conviction that the
mission he helped organize saved America from disaster.


   Denise Gamino **writes** for the Austin (Texas) American-Statesman."
society,"['social order', 'nation', 'community']",NOUN,"Except it’s worse here because they have centuries to grow disaffected and flirt with exciting and dangerous elements of society’s lowest rungs. Some of them actually commit to this society, though. There’s an amazing DJ who’s an elf.","Except it’s worse here because they have centuries to grow disaffected and flirt with exciting and dangerous elements of society’s lowest rungs. Some of them actually commit to this society, though. There’s an amazing DJ who’s an elf.","Except it’s worse here because they have centuries to grow disaffected and flirt with exciting and dangerous elements of **society**’s lowest rungs. Some of them actually commit to this society, though. There’s an amazing DJ who’s an elf."
next,"['coming', 'upcoming', 'following', 'forthcoming', 'subsequent']",ADJ,"That means her
entertaining has been curtailed, even though she still has an
active social life with the many friends the Childs made during
22 winters spent in Santa Barbara.


   She will have reunions of sorts with her famous kitchen in
the next few weeks. One of its Peg-Board walls was dismantled and
reinstalled at COPIA; the rest went to Washington, D.C., and the
Behring Center of the Smithsonian Institution's National Museum
of American History.","That means her
entertaining has been curtailed, even though she still has an
active social life with the many friends the Childs made during
22 winters spent in Santa Barbara.


   She will have reunions of sorts with her famous kitchen in
the next few weeks. One of its Peg-Board walls was dismantled and
reinstalled at COPIA; the rest went to Washington, D.C., and the
Behring Center of the Smithsonian Institution's National Museum
of American History.","That means her
entertaining has been curtailed, even though she still has an
active social life with the many friends the Childs made during
22 winters spent in Santa Barbara.


   She will have reunions of sorts with her famous kitchen in
the **next** few weeks. One of its Peg-Board walls was dismantled and
reinstalled at COPIA; the rest went to Washington, D.C., and the
Behring Center of the Smithsonian Institution's National Museum
of American History."
car,"['vehicle', 'motorcar', 'automobile', 'ride']",NOUN,"“Okay,” I said. “I’m in the car. Now, will you tell me how you know my family, and how you happened to be driving by just now?","“Okay,” I said. “I’m in the car. Now, will you tell me how you know my family, and how you happened to be driving by just now?","“Okay,” I said. “I’m in the **car**. Now, will you tell me how you know my family, and how you happened to be driving by just now?"
building,"['edifice', 'constructed dwelling', 'structure']",NOUN,"A corpulent, batrachian woman walked along with something on a leash that looked like a massive water beetle. Leaning from the rough-hewn window of one building on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed.","A corpulent, batrachian woman walked along with something on a leash that looked like a massive water beetle. Leaning from the rough-hewn window of one building on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed.","A corpulent, batrachian woman walked along with something on a leash that looked like a massive water beetle. Leaning from the rough-hewn window of one **building** on our right was something with long, green hair draped across the seven gangly arms hanging from its windowsill. Thirty-five thin fingers waved lazily like seaweed."
people,"['folks', 'humans', 'persons', 'person', 'human beings']",NOUN,"“Only unsuccessfully, right?”
            “No, those people don’t usually leave stories.”
            “Oh, thanks, Nepthys, for your confidence-inspiring tales of experience.","“Only unsuccessfully, right?”
            “No, those people don’t usually leave stories.”
            “Oh, thanks, Nepthys, for your confidence-inspiring tales of experience.","“Only unsuccessfully, right?”
            “No, those **people** don’t usually leave stories.”
            “Oh, thanks, Nepthys, for your confidence-inspiring tales of experience."
finished,['complete'],VERB,"“They’re quick, too. We’ll be done with them before your hair is finished.” Then she clapped her hands and brought in the barber.","“They’re quick, too. We’ll be done with them before your hair is finished.” Then she clapped her hands and brought in the barber.","“They’re quick, too. We’ll be done with them before your hair is **finished**.” Then she clapped her hands and brought in the barber."
plants,"['production plant', 'factory']",NOUN,"Human operators are there to monitor the systems, catch errors
and fine-tune the production process for maximum efficiency.
Because each of the hundreds of processing machines is
self-enclosed, and essentially airtight, the uniforms operators
wear are less constricting than in the previous generation of chip
plants, which looked like space suits.


   The operators at the East Fishkill factory wear light nylon
uniforms, light blue shoe coverings and translucent hair nets made
of paper.","Human operators are there to monitor the systems, catch errors
and fine-tune the production process for maximum efficiency.
Because each of the hundreds of processing machines is
self-enclosed, and essentially airtight, the uniforms operators
wear are less constricting than in the previous generation of chip
plants, which looked like space suits.


   The operators at the East Fishkill factory wear light nylon
uniforms, light blue shoe coverings and translucent hair nets made
of paper.","Human operators are there to monitor the systems, catch errors
and fine-tune the production process for maximum efficiency.
Because each of the hundreds of processing machines is
self-enclosed, and essentially airtight, the uniforms operators
wear are less constricting than in the previous generation of chip
**plants**, which looked like space suits.


   The operators at the East Fishkill factory wear light nylon
uniforms, light blue shoe coverings and translucent hair nets made
of paper."
press,['media'],NOUN,"""Noriega has closed every independent newspaper, radio and television station and arrested, tortured or forced into exile a long list of reporters,"" the statement declared.

It added: ""In Cuba, public enemy No. 1 of press freedoms in the hemisphere, repression of journalists both Cuban and foreign is worse than ever.""
And in Nicaragua, promises of press freedom by the Sandinistas ""have not materialized.""","""Noriega has closed every independent newspaper, radio and television station and arrested, tortured or forced into exile a long list of reporters,"" the statement declared.

It added: ""In Cuba, public enemy No. 1 of press freedoms in the hemisphere, repression of journalists both Cuban and foreign is worse than ever.""
And in Nicaragua, promises of press freedom by the Sandinistas ""have not materialized.""","""Noriega has closed every independent newspaper, radio and television station and arrested, tortured or forced into exile a long list of reporters,"" the statement declared.

It added: ""In Cuba, public enemy No. 1 of **press** freedoms in the hemisphere, repression of journalists both Cuban and foreign is worse than ever.""
And in Nicaragua, promises of press freedom by the Sandinistas ""have not materialized."""
house,"['home', 'residence', 'property']",NOUN,"""Thank you."" Stepping into the living room, he said, ""A beautiful house."" 
                 ""I'm glad you came after dark.""","""Thank you."" Stepping into the living room, he said, ""A beautiful house."" 
                 ""I'm glad you came after dark.""","""Thank you."" Stepping into the living room, he said, ""A beautiful **house**."" 
                 ""I'm glad you came after dark."""
voice,"['talk', 'utterance', 'tongue']",NOUN,"""How should I reply?"" Her voice had grown quiet, and I began to feel some guilt.
                    I had, it is true, told her that we needed other company than our own.","""How should I reply?"" Her voice had grown quiet, and I began to feel some guilt.
                    I had, it is true, told her that we needed other company than our own.","""How should I reply?"" Her **voice** had grown quiet, and I began to feel some guilt.
                    I had, it is true, told her that we needed other company than our own."
forgive,"['pardon', 'excuse']",VERB,"""A confession, and then a request. And then you must forgive me
                    for being so forward. It's not easy for me to ask a favor.""","""A confession, and then a request. And then you must forgive me
                    for being so forward. It's not easy for me to ask a favor.""","""A confession, and then a request. And then you must **forgive** me
                    for being so forward. It's not easy for me to ask a favor."""
take,['accept'],NOUN,"""Of course,"" I said. ""That's why I cannot take payment."" 
                 ""Oh?","""Of course,"" I said. ""That's why I cannot take payment."" 
                 ""Oh?","""Of course,"" I said. ""That's why I cannot **take** payment."" 
                 ""Oh?"
offer,"['bid', 'proposal']",NOUN,"2 million shares, or about 38.5% of the shares outstanding, have been tendered under its offer. The partners said they already hold 15% of all shares outstanding.","2 million shares, or about 38.5% of the shares outstanding, have been tendered under its offer. The partners said they already hold 15% of all shares outstanding.","2 million shares, or about 38.5% of the shares outstanding, have been tendered under its **offer**. The partners said they already hold 15% of all shares outstanding."
just,"['merely', 'nothing but']",ADV,"Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders.  

Under the plan, unsecured creditors, who are owed about $430 million, would receive about $92 million, or 21 cents for each dollar they are owed.","Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides just 1.125 cents a share for common stockholders.  

Under the plan, unsecured creditors, who are owed about $430 million, would receive about $92 million, or 21 cents for each dollar they are owed.","Coleco Industries Inc., a once high-flying toy maker whose stock peaked at $65 a share in the early 1980s, filed a Chapter 11 reorganization plan that provides **just** 1.125 cents a share for common stockholders.  

Under the plan, unsecured creditors, who are owed about $430 million, would receive about $92 million, or 21 cents for each dollar they are owed."
